genotype,day,fly,alpha,beta,p0,log_alpha,log_beta,logit_p0
GD,14,41,0.20305889637500002,0.28694380275,0.49613976125000003,-1.5942592120937895,-1.2484688916290962,-0.9102738479777185
GD,14,42,0.238544561,0.17850982637500004,0.710346605,-1.4331991475314703,-1.7231116295577353,-1.526476326478034
GD,14,43,0.20957099499999998,0.259666166,0.42919726125,-1.5626927187445978,-1.3483584498943226,-1.0477043824102246
GD,14,44,0.173486672875,0.320648719375,0.287416126375,-1.7516544959460998,-1.1374090872358766,-0.7507921519962631
GD,14,45,0.07029919525,0.05755643062500001,0.8171563825,-2.6549949275994607,-2.854989410265185,-2.7957101754705587
GD,14,46,0.065178473025,0.487505062125,0.29962741424999995,-2.7306260328953136,-0.7184546047519931,-0.049990159416565094
GD,14,47,0.12877204825,0.67044888375,0.294172003375,-2.0497115055559605,-0.39980781518441383,0.7102159891100716
GD,14,48,0.20119956387500001,0.1335215374,0.539522195,-1.6034580083781864,-2.013492485314979,-1.8701744595535148
GD,14,49,0.0841471535625,0.06959639314999999,0.5218009975,-2.4751881846750017,-2.6650425355420695,-2.592905734422823
GD,14,50,0.028808819687499997,0.038028342875,0.70387457125,-3.5470736995725685,-3.269423532143335,-3.2306532409448527
GD,14,51,0.10106529874999999,0.078042878875,0.6295217762499999,-2.291988448769141,-2.5504968741716034,-2.469240311292588
GD,14,52,0.22497523325,0.20858230912499998,0.7940884425,-1.4917649572807976,-1.5674215476580498,-1.333492151275547
GD,14,53,0.10858540525,0.147452881625,0.6488852312500001,-2.2202182704766096,-1.914246600846369,-1.7547198003156426
GD,14,54,0.190243686125,0.230807858625,0.76165787625,-1.6594494700446645,-1.4661696954261305,-1.2037552134852634
GD,14,55,0.295141518,0.2116595015,0.41479952875000003,-1.220300315638247,-1.5527764205116215,-1.314951242752446
GD,14,56,0.0720695645,0.068189645125,0.8176766387500001,-2.6301234528002735,-2.6854625566719457,-2.6148365897763735
GD,14,57,0.08526247525000001,0.181852700125,0.51767881875,-2.4620208362813587,-1.7045582595702864,-1.5038453741764861
GD,14,58,0.21911383999999998,0.334254092875,0.63327415875,-1.518163866872276,-1.0958538181236694,-0.6890066160509988
GD,14,59,0.28996993895,0.1527550758625,0.6909663424999999,-1.2379780201676647,-1.878919451613465,-1.7131539921150012
GD,14,60,0.05181493695,0.0521446631625,0.63626675,-2.9600768131758,-2.95373343906162,-2.9001800524175247
GD,14,61,0.223820059875,0.20687596737500002,0.7718961725,-1.496912854078218,-1.5756358567288122,-1.3438601965140318
GD,14,62,0.2466698085,0.36620031462499997,0.5147657625000001,-1.3997046443709862,-1.0045747875804356,-0.5485524594444563
GD,14,63,0.0758258363625,0.352328584375,0.47097660875,-2.5793161953001738,-1.0431910604659267,-0.608819274577458
GD,14,64,0.244789060875,0.44415237175,0.47824601125,-1.407358415310551,-0.8115875958054511,-0.22432652360528585
GD,14,65,0.08642729912500002,0.08324906500000001,0.713219075,-2.44845169098273,-2.485918381415886,-2.398998929291945
GD,14,66,0.31636157675,0.288268260125,0.49504586000000006,-1.150869489306168,-1.243863773617353,-0.9038095652131198
GD,14,67,0.13803601775000002,0.249629248625,0.39402331375000005,-1.9802406296906283,-1.387778467360952,-1.1005906079324606
GD,14,68,0.148174669625,0.20768330025,0.57036943625,-1.909363500937851,-1.5717409545583896,-1.3389468608843256
